index,r,energy
0,1,-110.07886723
1,1,-109.62220837
2,1,-110.65948168
3,1,-111.00189936
4,1,-109.72240769
5,1,-111.35703878
6,1,-110.82192023
7,1,-110.38780222
8,1,-111.59875077
9,1,-111.43228041
10,1,-110.03902413
11,1,-110.01148953
12,1,-109.10153116
13,1,-109.87796141
14,1,-108.33334266
15,1,-106.67708497
16,1,-107.88550551
17,1,-108.49696292
18,1,-108.2243696
19,1,-108.87770576
20,1,-109.70491112
21,1,-108.28159045
22,1,-108.40061439
23,1,-108.2587094
24,1,-108.37121555
25,1,-107.69961273
26,1,-108.13454337
27,1,-109.02862671
28,1,-108.55832498
29,1,-108.89443806
30,1,-108.79835302
31,1,-107.79374023
32,1,-109.08535932
33,1,-106.6621694
34,1,-108.34800355
35,1,-108.0009985
36,1,-109.0218742
37,1,-108.76532671
38,1,-109.59901793
39,1,-109.57678024
40,1,-110.01443582
41,1,-108.81448263
42,1,-108.22336828
43,1,-108.73876178
44,1,-108.44840965
45,1,-109.45231766
46,1,-109.99121655
47,1,-108.43708686
48,1,-109.50998151
49,1,-109.1394502
50,1,-111.01035605
51,1,-110.79110451
52,1,-111.30134942
53,1,-111.68405135
54,1,-110.91032426
55,1,-110.89109425
56,1,-111.75735046
57,1,-111.05848402
58,1,-111.34688537
59,1,-112.76340029
60,1,-111.02640676
61,1,-111.40720933
62,1,-111.05914564
63,1,-112.33556374
64,1,-111.04417423
65,1,-111.40480401
66,1,-111.25271428
67,1,-110.72533098
68,1,-110.29893078
69,1,-111.0628465
70,1,-110.51254951
71,1,-110.95277159
72,1,-112.37157645
73,1,-110.95912818
74,1,-111.64025469
75,1,-111.75077788
76,1,-111.16270065
77,1,-110.25657099
78,1,-111.94165892
79,1,-111.22912957
80,1,-110.21779244
81,1,-112.0656167
82,1,-111.20111785
83,1,-111.79896473
84,1,-111.19938486
85,1,-111.70859855
86,1,-109.86946792
87,1,-112.9315343
88,1,-110.72336217
89,1,-111.60768557
90,1,-111.8474083
91,1,-111.06868926
92,1,-110.82369687
93,1,-111.6596178
94,1,-112.14870269
95,1,-111.48525824
96,1,-109.87124651
97,1,-112.00146564
98,1,-110.31506172
99,1,-111.56247474
100,1,-119.26219814
101,1,-117.70362299
102,1,-118.03598407
103,1,-119.15162224
104,1,-118.72059967
105,1,-117.43154047
106,1,-119.01208193
107,1,-119.13707458
108,1,-117.62281521
109,1,-118.03093702
110,1,-119.20543124
111,1,-118.39851222
112,1,-117.54543
113,1,-119.03623547
114,1,-119.12765736
115,1,-117.69015283
116,1,-118.48703676
117,1,-119.20154536
118,1,-118.28205692
119,1,-118.1998051
120,1,-119.21751764
121,1,-118.7790791
122,1,-117.712371
123,1,-118.9991623
124,1,-119.21053457
125,1,-118.35503806
126,1,-118.26413756
127,1,-119.18873861
128,1,-118.68657102
129,1,-117.92598107
130,1,-118.71390902
131,1,-118.95903677
132,1,-117.92689124
133,1,-118.21182062
134,1,-119.01410621
135,1,-118.45445898
136,1,-117.90539316
137,1,-118.66364351
138,1,-118.93948945
139,1,-117.8556445
140,1,-118.362826
141,1,-119.0599954
142,1,-118.49827243
143,1,-117.74878527
144,1,-118.7116835
145,1,-118.99815839
146,1,-118.11779582
147,1,-118.35031981
148,1,-118.98282784
149,1,-118.47502307
